iter	Passed	Remaining
0	1	1165
1	2	1015
2	2	960
3	3	940
4	4	902
5	5	903
6	6	921
7	7	907
8	8	888
9	9	893
10	10	963
11	11	973
12	12	965
13	13	957
14	14	949
15	15	952
16	16	943
17	17	934
18	17	922
19	18	912
20	19	903
21	20	895
22	20	886
23	21	885
24	22	879
25	23	880
26	25	910
27	26	924
28	27	922
29	28	916
30	29	908
31	29	900
32	30	893
33	31	888
34	31	881
35	32	881
36	33	882
37	34	878
38	35	872
39	36	867
40	36	863
41	37	863
42	38	864
43	40	875
44	41	882
45	43	895
46	44	894
47	44	890
48	45	885
49	46	880
50	47	875
51	47	870
52	48	866
53	49	865
54	50	862
55	51	860
56	51	859
57	52	855
58	53	851
59	54	848
60	55	857
61	58	887
62	59	890
63	60	891
64	61	889
65	62	885
66	63	881
67	64	877
68	64	874
69	65	869
70	66	867
71	67	864
72	67	860
73	68	857
74	69	856
75	71	866
76	72	868
77	73	865
78	74	863
79	74	859
80	75	857
81	76	854
82	76	847
83	77	844
84	78	841
85	79	841
86	79	838
87	80	835
88	81	832
89	82	829
90	82	827
91	83	824
92	84	821
93	85	826
94	86	828
95	87	827
96	88	825
97	89	823
98	90	820
99	90	817
100	91	815
101	92	812
102	92	809
103	93	807
104	94	804
105	95	802
106	95	800
107	96	798
108	97	799
109	98	798
110	99	796
111	100	799
112	102	800
113	102	799
114	103	797
115	104	795
116	104	792
117	105	791
118	106	790
119	107	788
120	108	786
121	108	783
122	109	780
123	110	778
124	111	777
125	111	776
126	112	773
127	113	771
128	113	769
129	115	770
130	116	775
131	117	774
132	118	772
133	119	770
134	119	768
135	120	766
136	121	764
137	122	762
138	122	760
139	123	759
140	124	759
141	125	756
142	125	754
143	126	752
144	127	750
145	128	749
146	129	749
147	130	749
148	131	753
149	132	753
150	133	753
151	134	751
152	135	749
153	136	747
154	136	745
155	137	743
156	138	742
157	138	740
158	139	738
159	140	737
160	140	734
161	141	733
162	142	732
163	143	730
164	144	729
165	144	727
166	146	730
167	147	731
168	148	730
169	149	728
170	149	727
171	150	725
172	151	725
173	152	723
174	153	722
175	154	721
176	154	719
177	155	717
178	156	716
179	156	714
180	157	713
181	158	712
182	159	711
183	161	715
184	162	716
185	163	715
186	164	715
187	165	714
188	166	713
189	167	712
190	167	711
191	168	710
192	169	710
193	170	709
194	171	708
195	172	707
196	173	705
197	173	703
198	174	702
199	175	701
200	177	703
201	178	703
202	178	702
203	179	701
204	180	699
205	181	698
206	181	696
207	182	695
208	183	693
209	184	692
210	184	691
211	185	689
212	186	688
213	187	688
214	188	687
215	188	685
216	189	684
217	190	683
218	192	685
219	193	684
220	193	683
221	194	682
222	195	681
223	196	680
224	197	679
225	198	678
226	198	677
227	199	675
228	200	674
229	200	672
230	201	671
231	202	669
232	203	668
233	203	667
234	204	666
235	206	668
236	207	669
237	209	669
238	210	669
239	211	668
240	212	668
241	213	667
242	214	667
243	215	667
244	216	666
245	217	666
246	218	665
247	219	665
248	220	664
249	221	665
250	223	666
251	224	666
252	225	665
253	226	665
254	227	664
255	228	663
256	229	663
257	230	662
258	231	662
259	232	661
260	233	661
261	234	660
262	235	659
263	237	661
264	238	661
265	239	661
266	240	660
267	241	660
268	242	659
269	243	659
270	244	658
271	245	657
272	246	656
273	247	655
274	248	655
275	249	654
276	250	654
277	252	655
278	253	655
279	254	655
280	255	654
281	256	653
282	257	653
283	258	652
284	259	652
285	260	651
286	261	650
287	262	650
288	263	649
289	264	648
290	266	649
291	267	649
292	269	649
293	270	648
294	271	647
295	272	647
296	273	646
297	274	645
298	274	644
299	275	643
300	276	642
301	277	642
302	278	641
303	279	640
304	280	640
305	282	640
306	283	640
307	284	639
308	285	639
309	286	638
310	287	637
311	288	636
312	289	635
313	290	635
314	291	634
315	292	633
316	293	632
317	294	632
318	296	633
319	298	633
320	299	633
321	300	632
322	301	631
323	302	630
324	302	629
325	303	628
326	304	627
327	305	626
328	306	625
329	307	624
330	308	623
331	309	623
332	310	622
333	312	622
334	313	622
335	314	622
336	315	621
337	316	620
338	317	619
339	318	618
340	319	617
341	320	616
342	321	615
343	322	615
344	323	614
345	324	613
346	325	613
347	327	613
348	328	613
349	329	612
350	330	611
351	331	610
352	332	610
353	333	609
